"id","value"
1,24030
2,25620
3,26209
4,27167
5,24620
6,25972
7,26285
8,27659
9,24780
10,26519
11,26803
12,28200
13,25476
14,26846
15,27302
16,28601
17,26025
18,27998
19,28258
20,29828
21,27346
22,29174
23,29375
24,30603
25,28168
26,29884
27,30165
28,31260
29,28629
30,30614
31,30717
32,32054
33,29364
34,31783
35,32532
36,33392
37,30599
38,32528
39,33200
40,34258
41,31111
42,32946
43,33846
44,34845
45,32013
46,34055
47,34244
48,35084
49,32227
50,34343
51,35301
52,36546
53,33902
54,34838
55,35874
56,37315
57,33742
58,35401
59,36147
60,38067
61,34149
62,36176
63,37485
64,39047
65,34783
66,37042
67,38008
68,40132
69,36466
70,38680
71,39976
72,42273
73,39131
74,40780
75,41852
76,43684
77,38729
78,40427
79,41576
80,43886
81,39131
82,40394
83,40956
84,42959
85,38714
86,40062
87,41152
88,43460
89,38695
90,39780
91,40923
92,44093
93,40777
94,41778
95,43160
96,45897
97,41947
98,44061
99,44378
100,47237
101,43315
102,43396
103,44843
104,46835
105,42833
106,43548
107,44637
108,47107
109,42552
110,43526
111,45039
112,47940
113,43740
114,45007
115,46667
116,49325
117,44878
118,46234
119,47055
120,50318
121,46354
122,47260
123,48883
124,52605
125,48527
126,50237
127,51592
128,55152
129,50451
130,52294
131,54633
132,58802
133,53990
134,55477
135,57850
136,61978
