"id","value"
1,4612
2,4651
3,4645
4,4615
5,4645
6,4722
7,4780
8,4830
9,4887
10,4933
11,4921
12,4875
13,4867
14,4905
15,4938
16,4934
17,4942
18,4979
19,5028
20,5079
21,5112
22,5127
23,5130
24,5101
25,5072
26,5069
27,5100
28,5166
29,5244
30,5312
31,5349
32,5370
33,5388
34,5396
35,5388
36,5403
37,5442
38,5482
39,5506
40,5531
41,5560
42,5583
43,5568
44,5524
45,5452
46,5358
47,5303
48,5320
49,5408
50,5531
51,5624
52,5669
53,5697
54,5736
55,5811
56,5894
57,5952
58,5965
59,5943
60,5924
61,5935
62,5979
63,6035
64,6097
65,6167
66,6227
67,6256
68,6272
69,6295
70,6345
71,6413
72,6468
73,6497
74,6511
75,6514
76,6512
77,6490
78,6442
79,6390
80,6346
81,6328
82,6340
83,6362
84,6389
85,6433
86,6491
87,6541
88,6566
89,6602
90,6671
91,6765
92,6847
93,6890
94,6918
95,6962
96,7018
97,7083
98,7134
99,7173
100,7212
101,7242
102,7276
103,7332
104,7400
105,7478
106,7550
107,7618
