"id","value"
1,7.204
2,7.335
3,7.812
4,7.413
5,9.136
6,8.725
7,8.751
8,9.609
9,8.601
10,8.93
11,8.835
12,11.688
13,8.078
14,7.892
15,8.151
16,8.738
17,9.416
18,9.533
19,9.943
20,10.859
21,8.789
22,9.96
23,9.619
24,12.9
25,8.62
26,8.401
27,8.546
28,10.004
29,10.675
30,10.115
31,11.206
32,11.555
33,10.453
34,10.421
35,9.95
36,13.975
37,9.315
38,9.366
39,9.91
40,10.302
41,11.371
42,11.857
43,12.387
44,12.421
45,12.073
46,11.963
47,10.666
48,15.613
49,10.586
50,10.558
51,12.064
52,11.899
53,12.077
54,13.918
55,13.611
56,14.132
57,13.509
58,13.152
59,13.993
60,18.203
61,14.262
62,13.024
63,14.062
64,14.718
65,16.544
66,16.732
67,16.23
68,18.126
69,16.016
70,15.601
71,15.394
72,20.439
73,14.991
74,14.908
75,17.459
76,14.501
77,18.271
78,17.963
79,17.026
80,18.111
81,15.989
82,16.735
83,15.949
84,20.216
85,16.198
86,15.06
87,16.168
88,16.376
89,18.403
90,19.113
91,19.303
92,20.56
93,16.621
94,18.788
95,17.97
96,22.464
97,16.658
98,16.214
99,16.043
100,16.418
101,17.644
102,17.705
103,18.107
104,17.975
105,17.598
106,17.658
107,15.75
108,22.414
109,16.065
110,15.467
111,16.297
112,16.53
113,18.41
114,20.274
115,21.311
116,20.991
117,18.305
118,17.832
119,18.223
120,23.987
121,15.964
122,16.606
123,19.216
124,16.419
125,19.638
126,19.773
127,21.052
128,22.011
129,19.039
130,17.893
131,19.276
132,25.167
133,16.699
134,16.619
135,17.851
136,18.16
137,22.032
138,21.395
139,22.217
140,24.565
141,21.095
142,20.114
143,19.931
144,26.12
145,18.58
146,18.492
147,19.724
148,20.123
149,22.582
150,22.595
151,23.379
152,24.92
153,20.325
154,22.038
155,20.988
156,26.675
157,19.061
158,19.303
159,19.323
160,21.573
161,23.685
162,22.104
163,25.34
164,25.211
