"id","value"
1,21.12
2,22.92
3,25.9
4,24.38
5,23.41
6,26.82
7,26.9
8,28.72
9,22.87
10,23.1
11,23.11
12,22.14
13,21.35
14,22.23
15,24.4
16,23.41
17,22.06
18,24.53
19,24
20,24.97
21,20.57
22,21.55
23,20.14
24,21.39
25,20.24
26,20.63
27,22.03
28,22.68
29,22.8
30,23.78
31,24.16
32,22.64
33,20.5
34,21.44
35,20.91
36,21.7
37,20.52
38,21.66
39,23.82
40,24.01
41,22.52
42,24.68
43,24.19
44,24.73
45,20.85
46,21.84
47,21.7
48,22.38
49,21.83
50,23.44
51,26.98
52,24.61
53,24.1
54,26.67
55,25.63
56,26.4
57,23.17
58,24.24
59,23.88
60,23.96
61,22.6
62,23.67
63,27
64,26.91
65,26.63
66,28.93
67,27.72
68,29.79
69,25.61
70,26.81
71,26.97
72,26.3
73,25.35
74,26.91
75,31.6
76,31.09
77,30.7
78,32.09
79,32.02
80,33.16
81,26.82
82,28.68
83,27.8
84,30.46
85,28.07
86,30.01
87,34.12
88,32.9
89,32.92
90,34.86
91,35.67
92,37.81
93,30.65
94,31.96
95,31.01
96,32.3
97,28.72
98,33.39
99,37.76
100,37.51
101,35.87
102,36.86
103,37.71
104,38.41
105,31.65
106,32.87
107,32.23
108,31.88
109,29.64
110,32.87
111,37.12
112,35.32
113,34.82
114,36.97
115,36.89
116,38.76
117,32.99
118,34.59
119,34.28
120,32.56
121,30.52
122,32.37
123,35.62
124,33.81
125,33.86
126,37.91
127,37.03
128,39.38
129,32.68
130,34.72
131,34.52
132,32.91
133,31.06
134,33.95
135,37.11
136,36
137,34.66
138,37.88
139,37.5
140,39.98
141,33.08
142,34.73
143,34.11
144,32.73
145,30.57
146,32.06
147,33.58
148,34.89
149,34.21
150,36.77
151,37.25
152,38.73
153,32.54
154,34.29
155,32.28
156,34.29
157,29.81
158,31.59
159,34.74
160,33.74
161,34.42
162,40.61
163,42.74
164,43.74
165,36.24
166,35.02
167,34.12
168,33.79
169,31.31
170,33.82
171,36.59
172,37.32
173,36.62
174,39.34
175,39.92
176,40.97
177,36.62
178,38.19
179,37.15
180,36.3
181,32.98
182,36.23
183,40.84
184,39.87
185,39.97
186,43.15
187,44.07
188,44.43
189,39.66
190,41.05
191,40.6
192,39.48
193,36.43
194,38.77
195,42.64
196,42.19
197,41.16
198,44.83
199,44.28
200,45.61
201,39.87
202,41.86
203,41.57
204,40.4
205,37.17
206,41.92
207,46.55
208,45.1
209,44.46
210,47.47
211,47
212,48.37
213,41.76
214,44.38
215,41.25
216,43.97
217,39.95
218,43
219,48.02
220,45.89
221,45.47
222,48.83
223,49.24
224,49.53
225,42.79
226,44.97
227,43.6
228,44.05
229,39.21
230,43.46
231,47.77
232,48.41
233,47.05
234,50.52
235,49.88
236,50.26
237,43.8
238,46.72
239,45.95
240,45.37
241,40.88
242,44.99
243,49.85
244,49.69
245,47.9
246,52.24
247,53.45
248,52.02
249,45.89
250,49.14
251,49
252,45.81
253,41.37
254,46.47
255,52.86
256,51.68
257,51.98
258,56.12
259,55.41
260,54.38
261,47.74
262,50.53
263,50.93
264,46.69
265,43.83
266,47.56
267,52.82
268,52.1
269,50.72
270,54.89
271,55.5
272,56.14
273,31.41
274,39.82
275,41.5
276,40.45
277,38.13
278,42.43
279,48.05
280,46.48
281,46.58
282,50.29
