"id","value"
1,1672
2,1759
3,1008
4,830
5,3816
6,19060
7,17760
8,9905
9,8168
10,7708
11,2879
12,2807
13,4887
14,6079
15,5215
16,13600
17,5274
18,5353
19,32700
20,22470
21,15200
22,7363
23,4054
24,2683
25,2723
26,4564
27,2139
28,1731
29,5468
30,21220
31,20770
32,6196
33,5917
34,3306
35,4778
36,5210
37,7341
38,16060
39,7656
40,4355
41,3932
42,19220
43,30600
44,14280
45,11060
46,11120
47,6729
48,7515
49,6200
50,3521
51,2361
52,1918
53,2380
54,13900
55,6319
56,9571
57,4833
58,6387
59,3526
60,2095
61,1325
62,1362
63,1095
64,1302
65,2099
66,2284
67,4102
68,5287
69,4791
70,3347
71,1561
72,2719
73,1486
74,1489
75,1482
76,4456
77,7014
78,12010
79,37970
80,11440
81,11760
82,8545
83,3183
84,18810
85,15300
86,9101
87,9907
88,5813
89,10450
90,9919
91,11380
92,13770
93,16480
94,12600
95,4579
96,2320
97,1978
98,1713
99,1584
100,2309
101,3111
102,4956
103,7455
104,3955
105,12740
106,5107
107,3632
108,2456
109,3270
110,5211
111,2797
112,2516
113,2220
114,2488
115,4494
116,4239
117,3681
118,8457
119,10630
120,4254
121,6535
122,4304
123,3144
124,4521
125,5536
126,14920
127,22820
128,12890
129,14720
130,46810
131,13740
132,6908
133,3732
134,3461
135,2566
136,2324
137,4630
138,11960
139,8308
140,11940
141,12780
142,4273
143,5500
144,7612
145,8020
146,7940
147,6473
148,4255
149,11360
150,23350
151,14780
152,6725
153,8872
154,7180
155,2309
156,1625
157,1470
158,2761
159,5468
160,2683
161,2731
162,10940
163,9610
164,12770
165,9430
166,10240
167,11950
168,6558
169,11390
170,15460
171,8586
172,20420
173,16990
174,24940
175,33480
176,31360
177,20870
178,11330
179,5276
180,4650
181,10520
182,6280
183,9124
184,9158
185,9294
186,18170
187,15450
188,26420
189,33660
190,13860
191,9522
192,4400
193,3444
194,5511
195,5665
196,4920
197,3650
198,15510
199,22040
200,13300
201,11890
202,8036
203,3046
204,2436
205,1431
206,1746
207,3151
208,1426
209,2812
210,9733
211,13200
212,12100
213,7316
214,3000
215,1735
216,997.7
217,967.9
218,942.4
219,760.6
220,532.6
221,661.1
222,2273
223,2536
224,1709
225,1022
226,1479
227,6162
228,7594
229,8646
230,7320
231,5133
232,3365
233,2544
234,11350
235,16140
236,11480
237,10930
238,16730
239,5951
240,6943
241,5923
242,6110
243,4805
244,2963
245,2932
246,25830
247,33810
248,16460
249,9225
250,8532
251,14050
252,13930
253,5140
254,8103
255,5756
256,5451
257,5669
258,9577
259,8213
260,3761
261,13330
262,5075
263,9458
264,8624
265,4943
266,3837
267,3482
268,2047
269,4019
270,4827
271,6781
272,5712
273,8136
274,10450
275,8936
276,7296
277,6814
278,6752
279,5782
280,2877
281,6841
282,26130
283,18700
284,17890
285,20890
286,19520
287,9496
288,7617
289,6791
290,15110
291,18150
292,10980
293,14360
294,23320
295,32260
296,22250
297,15540
298,18430
299,5870
300,5354
301,6862
302,9932
303,10320
304,7455
305,17080
306,14940
307,19450
308,21530
309,24560
310,17050
311,7217
312,2574
313,3901
314,6304
315,4169
316,4790
317,8561
318,17110
319,8663
320,5487
321,3384
322,2267
323,1646
324,2219
325,6393
326,8094
327,4332
328,4582
329,6289
330,23410
331,14270
332,21320
333,16200
334,15680
335,9119
336,8549
337,17200
338,11760
339,8725
340,4907
341,5087
342,7940
343,10850
344,6856
345,5591
346,3687
347,5165
348,5848
349,3123
350,3155
351,5651
352,4656
353,6978
354,8236
355,6332
356,4715
357,2230
358,1363
359,1160
360,981.8
361,1081
362,1238
363,1103
364,1295
365,1402
366,4285
367,3488
368,2329
369,1910
370,1019
371,872.6
372,2882
373,926.3
374,881.7
375,663.9
376,939.4
377,1212
378,8193
379,3578
380,12620
381,29230
382,18060
383,26300
384,13050
385,4324
386,4015
387,4147
388,2803
389,5639
390,20420
391,24460
392,30850
393,30490
394,9166
395,5682
396,3456
397,3044
398,9342
399,13570
400,8875
401,11870
402,18310
403,16190
404,11850
405,6007
406,14540
407,11540
408,9293
409,4774
410,16080
411,14860
412,6329
413,5939
414,24890
415,45840
416,33030
417,36630
418,77320
419,61750
420,37270
421,15020
422,7948
423,5750
424,2542
425,6439
426,14570
427,7143
428,6274
429,9799
430,13710
431,7827
432,4802
433,7574
434,6017
435,6499
436,5181
437,5544
438,9265
439,19290
440,24550
441,18470
442,10070
443,4323
444,2630
445,2693
446,3678
447,3043
448,2302
449,6891
450,5991
451,6111
452,22070
453,20310
454,8349
455,3359
456,2317
457,2038
458,4710
459,5595
460,5545
461,15110
462,20430
463,12600
464,15140
465,10880
466,10530
467,4794
468,3323
469,4160
470,4299
471,4011
472,4704
473,7485
474,13330
475,30460
476,13690
477,26330
478,24380
479,10510
480,6267
481,14470
482,12460
483,6473
484,4174
485,10610
486,8769
487,20800
488,31890
489,27720
490,24750
491,11140
492,4116
493,2557
494,2312
495,2078
496,1353
497,2363
498,4144
499,4219
500,4826
501,22310
502,18290
503,5020
504,3076
505,2448
506,3007
507,1852
508,1842
509,5718
510,20240
511,29450
512,25860
513,24680
514,8631
515,4570
516,3293
517,3503
518,3107
519,3574
520,2592
521,3134
522,4378
523,5788
524,9773
525,12190
526,6653
527,7969
528,3939
529,6074
530,3698
531,3234
532,2141
533,2103
534,3694
535,4031
536,18460
537,9403
538,10650
539,3156
540,1730
541,1340
542,3377
543,2948
544,2139
545,4077
546,14330
547,8582
