"id","value"
1,1157
2,1118
3,1310
4,874
5,890
6,1437
7,1263
8,1187
9,1506
10,1448
11,1054
12,663
13,988
14,1241
15,1207
16,1288
17,1045
18,842
19,687
20,1136
21,1348
22,1241
23,1164
24,1029
25,909
26,650
27,1275
28,1203
29,1233
30,1014
31,1040
32,825
33,593
34,875
35,1096
36,1059
37,1105
38,949
39,652
40,546
41,762
42,1082
43,1305
44,1232
45,1089
46,735
47,775
48,1381
49,1320
50,1398
51,991
52,1052
53,669
54,422
55,779
56,1150
57,1001
58,1582
59,847
60,721
61,541
62,710
63,1649
64,919
65,1008
66,1000
67,465
68,448
69,721
70,1030
71,915
72,870
73,795
74,667
75,487
76,741
77,1030
78,1287
79,1061
80,971
81,549
82,509
83,1046
84,1514
85,1655
86,1489
87,1352
88,828
89,591
90,820
91,1409
92,1819
93,1243
94,1157
95,626
96,437
97,842
98,1118
99,985
100,983
101,871
102,591
103,533
104,937
105,1312
106,1412
107,1183
108,955
109,629
110,561
111,833
112,1067
113,987
114,976
115,1218
116,853
117,432
118,869
119,1152
120,944
121,947
122,847
123,626
124,558
125,2300
126,2469
127,1411
128,1178
129,1111
130,641
131,867
132,1359
133,1730
134,1529
135,1168
136,1222
137,889
138,648
139,1023
140,1453
141,1260
142,1190
143,1207
144,706
145,929
146,1879
147,1579
148,1389
149,1352
150,1118
151,944
152,734
153,1048
154,1431
155,1296
156,1126
157,1158
158,872
159,756
160,1221
161,1620
162,1528
163,1486
164,1639
165,1114
166,874
167,1161
168,1557
169,1740
170,1598
171,1397
172,1153
173,797
174,1320
175,1747
176,1944
177,1664
178,1516
179,1077
180,777
181,1139
182,1671
183,1590
184,1491
185,1438
186,1060
187,789
188,1270
189,1384
190,1490
191,1554
192,1569
193,1422
194,888
195,1276
196,1650
197,1699
198,1464
199,1495
200,1030
201,812
202,1231
203,1465
204,1707
205,1678
206,1632
207,1678
208,958
209,1529
210,2368
211,1811
212,1558
213,1239
214,995
215,1009
216,1313
217,1544
218,2422
219,1621
220,1512
221,1278
222,955
223,1384
224,2569
225,2140
226,2235
227,1719
228,1143
229,955
230,1412
231,1965
232,1789
233,2198
234,1636
235,859
236,743
237,974
238,1609
239,1165
240,848
241,1030
242,1410
243,879
244,1259
245,1254
246,1026
247,768
248,736
249,863
250,759
251,1071
252,1455
253,1635
254,1537
255,1388
256,1144
257,728
258,1335
259,1730
260,1558
261,1571
262,1502
263,1203
264,807
265,1138
266,1648
267,1661
268,1743
269,1544
270,1439
271,1269
272,1262
273,1892
274,1687
275,1778
276,1485
277,1428
278,1010
279,1293
280,1941
281,1714
282,1676
283,1591
284,1077
285,809
286,1294
287,1715
288,1810
289,1890
290,1690
291,989
292,783
293,1271
294,1501
295,1613
296,1632
297,1486
298,1338
299,862
300,1529
301,1837
302,1948
303,1917
304,1765
305,1261
306,895
307,1219
308,1690
309,1660
310,1662
311,1616
312,1245
313,931
314,1259
315,1666
316,1782
317,2083
318,2287
319,1247
320,1120
321,1668
322,2006
323,2359
324,2649
325,2006
326,1364
327,966
328,1626
329,2001
330,1992
331,2279
332,1850
333,1250
334,968
335,1411
336,1833
337,1923
338,1910
339,1486
340,1044
341,927
342,1030
343,1965
344,1768
345,2082
346,2063
347,1424
348,1073
349,1664
350,1799
351,1947
352,1839
353,1885
354,1237
355,950
356,1636
357,1928
358,1898
359,2323
360,1979
361,1259
362,1158
363,1617
364,2144
365,2028
