"id","value"
1,6468.5
2,6465.4
3,6457.6
4,6436.7
5,6424.8
6,6416.6
7,6403.7
8,6411.6
9,6416.2
10,6406.6
11,6570
12,6421.2
13,6508.8
14,6524.6
15,6508.2
16,6475.7
17,6488.7
18,6491
19,6456
20,6558.2
21,6555.4
22,6552.4
23,6688.1
24,6554.6
25,6655.8
26,6694.3
27,6632.8
28,6690
29,6679.2
30,6701.7
31,6675.9
32,6767.6
33,6698.7
34,6701.6
35,6862.3
36,6686.8
37,6784.2
38,6841.2
39,6805.8
40,6791.6
41,6767.6
42,6803.6
43,6774.3
44,6896.7
45,6819.3
46,6808.4
47,6944.4
48,6799.4
49,6921.2
50,6961.2
51,6871.6
52,6894.7
53,6865.9
54,6879.3
55,6840.7
56,6952.6
57,6961.7
58,6922.2
59,7047.6
60,6866.7
61,7014.2
62,7044.3
63,6963.8
64,6993.3
65,6959.7
66,6982.2
67,6927.9
68,7079.1
69,6989.3
70,7002.3
71,7146.4
72,6969.3
73,7101.9
74,7203.2
75,7153.2
76,7125.2
77,7131.5
78,7123.6
79,7070.1
80,7200.6
81,7131.5
82,7147.3
83,7263.4
84,7110.1
85,7269.9
86,7330.2
87,7204.1
88,7267.1
89,7267
90,7270.3
91,7248.3
92,7403.9
93,7305.8
94,7425.1
95,7502
96,7378.5
97,7527.2
98,7604.5
99,7606.5
100,7573.5
101,7571.5
102,7587.6
103,7516.2
104,7673.7
105,7621.4
106,7618.4
107,7772.6
108,7573.2
109,7722
110,7836.2
111,7761.6
112,7738.7
113,7732
114,7785.7
115,7694.4
116,7784.1
117,7762.8
118,7749.3
119,7951.3
120,7815.6
121,7892.1
122,8042.7
123,8028.2
124,7947.9
125,7947.3
126,7901.8
127,7892.1
128,8057.7
129,7985.2
130,7997.1
131,8186.2
132,8017.3
133,8167.8
134,8184.5
135,8199.4
136,8247.8
137,8197.9
138,8235.1
139,8197
140,8355.7
141,8275.1
142,8317.5
143,8443.5
144,8263
145,8402.8
146,8426.4
147,8428.5
148,8466.5
149,8451.8
150,8502.3
151,8412.5
152,8553.2
153,8477.5
154,8479.4
155,8645.7
156,8263
157,8436.4
158,8199.393
159,8323.465
160,8606.8
161,8199.389
162,8480.8
163,8425.7
164,8630
165,8489.4
166,8491.6
167,8699.8
168,8530.5
169,8648.6
170,8653.6
171,8607.3
172,8607.9
173,8615.5
174,8667.9
175,8585.7
176,8686.8
177,8627.4
178,8552
179,8738.7
180,8543.6
181,8583.2
182,8643.6
183,8519.6
184,8573.4
185,8591.5
186,8573.1
187,8537
188,8712.5
189,8668.2
190,8662.7
191,8816.7
192,8656
193,8759
194,8787.4
195,8718.7
196,8729.1
197,8731.9
198,8788.9
199,8683.5
200,8918.1
201,8788.1
202,8789.3
203,8963.8
204,8807.1
205,8976.3
206,8980.3
207,8973.7
208,8984.4
209,8998.4
210,9003.1
211,8939.6
