"id","value"
1,255.2
2,259.7
3,249.3
4,258
5,244.3
6,246.8
7,250.6
8,241.3
9,231
10,218.7
11,222.8
12,227.5
13,216.6
14,220.1
15,221.7
16,225.6
17,238.6
18,232.8
19,226.1
20,227.2
21,225.8
22,225
23,225.7
24,226.3
25,226.8
26,231.3
27,231.1
28,230.6
29,230.5
30,230.4
31,230.4
32,230.4
33,230.4
34,230.6
35,230.4
36,230.5
37,230.6
38,230.6
39,230.6
40,230.6
41,230.6
42,230.6
43,230.6
44,230.6
45,230.6
46,230.6
47,230.6
48,232.2
49,234.2
50,247.8
51,266.1
52,307.7
53,295.8
54,288.8
55,305.4
56,356.9
57,415
58,485.1
59,500.1
60,453.3
61,356.7
62,419.2
63,440.6
64,480.5
65,490.8
66,466.1
67,404
68,431.6
69,473.5
70,500.1
71,523.8
72,541.4
73,599
74,668.7
75,668.7
76,679.9
77,592.8
78,604.8
79,559.5
80,426.4
81,402.4
82,454.9
83,464.4
84,433.4
85,443.7
86,435.4
87,391.8
88,354.9
89,369.5
90,362.3
91,355.9
92,372.7
93,378.3
94,406.3
95,515.3
96,551.3
97,586.4
98,715.8
99,708
100,522.4
101,456.5
102,473
103,439.9
104,439.9
105,462.3
106,449.7
107,458
108,493.4
109,523.8
110,535
111,532.4
112,578.1
113,579.6
114,617
115,605.4
116,669
117,657.6
118,647.4
119,679.4
120,707.8
121,677.2
122,690.1
123,730.4
124,725.2
125,665.9
126,607
127,567.8
128,527.5
129,519.3
130,475.8
131,451.9
132,435.4
133,420.7
134,424.9
135,476.5
136,521.2
137,464.1
138,447.2
139,464.4
140,451
141,427.5
142,417.7
143,406.4
144,410.7
145,418.9
146,426.9
147,442.2
148,433.5
149,423.3
150,412.4
151,423.2
152,427
153,434.2
154,428.7
155,427.8
156,435.7
157,474.7
158,511.8
159,610.2
160,638.8
161,613
162,678.4
163,795.4
164,843.5
165,799.6
166,849.6
167,950.4
168,959.9
169,913.2
170,1006.5
171,1172
172,1267.7
173,1190.6
174,1020.1
175,802.8
176,767.9
177,630.1
178,599.2
179,608.2
180,553.2
181,512.4
182,528.7
183,554.5
184,560.5
185,539.7
186,522.5
187,559.3
188,603.7
189,580.2
190,573.1
191,575.1
192,568.9
193,587.8
194,601.6
195,683.7
196,817.9
197,836
198,878
199,922.1
200,862.2
201,844.9
202,784.8
203,780.3
204,767.3
205,814.8
206,833.4
207,881
208,830.4
209,797.9
210,763.1
211,724.4
212,665.8
213,685.6
214,682.9
215,650.2
216,679.1
217,651.2
218,627
219,657.6
220,694.4
221,716
222,725
223,705.4
224,734.6
225,735.8
226,750.1
227,749.3
228,771.7
229,827.1
230,969.7
231,1005.5
232,1012.3
233,935.3
234,888.8
235,802.4
236,883.2
237,953.6
238,967.6
239,978.3
240,1005.6
241,1147.9
242,1220.2
243,1045.5
244,937.1
245,888.9
246,858.5
247,916.7
248,877.9
249,857.6
250,846.2
251,839.5
252,800.4
253,777.4
254,784.9
255,814.3
256,837
257,834
258,861
259,897.3
260,981.4
261,942.2
262,904.9
