"id","value"
1,1343
2,1236
3,1401
4,1396
5,1457
6,1388
7,1389
8,1369
9,1318
10,1354
11,1312
12,1370
13,1404
14,1295
15,1453
16,1427
17,1484
18,1421
19,1414
20,1375
21,1331
22,1364
23,1320
24,1380
25,1415
26,1348
27,1469
28,1441
29,1479
30,1398
31,1400
32,1382
33,1342
34,1391
35,1350
36,1418
37,1433
38,1328
39,1500
40,1474
41,1529
42,1471
43,1473
44,1446
45,1377
46,1416
47,1369
48,1438
49,1466
50,1347
51,1515
52,1501
53,1556
54,1477
55,1468
56,1443
57,1386
58,1446
59,1407
60,1489
61,1518
62,1404
63,1585
64,1554
65,1610
66,1516
67,1498
68,1487
69,1445
70,1491
71,1459
72,1538
73,1579
74,1506
75,1632
76,1593
77,1636
78,1547
79,1561
80,1525
81,1464
82,1511
83,1459
84,1519
85,1549
86,1431
87,1599
88,1571
89,1632
90,1555
91,1552
92,1520
93,1472
94,1522
95,1485
96,1549
97,1591
98,1472
99,1654
100,1621
101,1678
102,1587
103,1578
104,1570
105,1497
106,1539
107,1496
108,1575
109,1615
110,1489
111,1666
112,1627
113,1671
114,1596
115,1597
116,1571
117,1511
118,1561
119,1517
120,1596
121,1624
122,1531
123,1661
124,1636
125,1692
126,1607
127,1623
128,1601
129,1533
130,1583
131,1531
132,1610
133,1643
134,1522
135,1707
136,1690
137,1760
138,1690
139,1683
140,1671
141,1599
142,1637
143,1592
144,1663
