"id","value"
1,218.2
2,217.9
3,224.7
4,236.4
5,238.7
6,240.8
7,241.9
8,241.3
9,240.4
10,233.4
11,226.6
12,219.4
13,215.8
14,213.8
15,220.8
16,234.5
17,236
18,232.5
19,233.8
20,233.2
21,232.6
22,226.9
23,217.9
24,212.3
25,208.8
26,209.3
27,212.8
28,208.8
29,211.7
30,214.1
31,214.7
32,216.2
33,218.5
34,213.6
35,206
36,198.9
37,194.7
38,193.6
39,195.4
40,203
41,204.3
42,203.8
43,205.9
44,207.6
45,205.9
46,198.7
47,189.7
48,186.7
49,183.7
50,184.9
51,188.4
52,197
53,199.2
54,201.6
55,204.3
56,206.8
57,203.2
58,195.9
59,190.9
60,185.3
61,184
62,183.4
63,181.7
64,188.4
65,191.6
66,194.5
67,198.1
68,200.4
69,196.3
70,189.1
71,185.1
72,182.6
73,179.7
74,178.5
75,181.5
76,190.1
77,190.5
78,193.7
79,195.7
80,195.1
81,192.4
82,185.9
83,178.8
84,175.8
85,169.7
86,169.3
87,172.3
88,180.8
89,183.1
90,182.9
91,186.1
92,189.3
93,183.8
94,179
95,172.5
96,171.1
97,167.2
98,165
99,168.8
100,175
101,177.9
102,183.7
103,187.2
104,189.3
105,183.4
106,177.3
107,172.3
108,171.4
109,164.9
110,164.4
111,166.9
112,174.2
113,177.5
114,183.6
115,189.5
116,191.6
117,185.1
118,181.9
119,175.4
120,174.2
121,172.7
122,168.2
123,171.4
124,177
125,182.6
126,191.4
127,200.8
128,201.2
129,195.6
130,188.4
131,184.8
132,187.3
133,182.4
134,176.2
135,178.9
136,182.2
137,184.9
138,195.3
139,198.5
140,200.9
141,195.6
142,187.6
143,183.7
144,184.2
145,179.5
146,179.9
147,181.7
148,191.7
149,199.1
150,205.5
151,212
152,213.1
153,203.3
154,193.4
155,190.3
156,181.5
157,176
158,176.8
159,182.2
160,191.2
161,197.6
162,201.4
163,208
164,210.2
165,206.3
166,200.5
167,202.2
168,200.1
169,194.8
170,192.3
171,192.6
172,199
173,207.7
174,215.8
175,219.9
176,221.7
177,214.3
178,211.5
179,206.4
180,204.6
181,196.8
182,190.8
183,188.5
184,196.5
185,204.7
186,211.7
187,216.8
188,217.3
189,212.8
190,206.6
191,203.9
192,202.9
