"id","value"
1,14.5471
2,14.6721
3,14.8016
4,14.6125
5,14.2967
6,14.325
7,14.6231
8,15.1362
9,15.22
10,15.7592
11,16.0724
12,16.1126
13,16.1826
14,16.4537
15,15.9885
16,16.1646
17,16.6733
18,16.5005
19,16.8483
20,16.5935
21,17.4391
22,17.9894
23,17.8031
24,18.5141
25,18.818
26,19.2117
27,18.965
28,18.7972
29,19.1667
30,18.9739
31,18.5933
32,19.3313
33,20.1503
34,20.9867
35,21.1868
36,21.8878
37,21.8578
38,22.4741
39,22.1601
40,21.9503
41,21.9989
42,21.8922
43,22.2364
44,23.0349
45,23.4658
46,24.6513
47,24.7339
48,25.287
49,25.3264
50,25.7877
51,25.1988
52,25.41
53,25.29
54,24.5715
55,24.2925
56,25.4905
57,26.1685
58,27.0857
59,27.4766
60,28.2164
61,27.9908
62,28.1535
63,27.5391
64,27.9092
65,26.8256
66,27.9715
67,29.4773
68,30.6624
