"id","value"
1,26.87
2,53.24
3,65.59
4,81.23
5,143.9
6,237.9
7,276.6
8,222.2
9,137.2
10,46.45
11,27.46
12,41.46
13,44.73
14,88.42
15,105.7
16,155.2
17,205.5
18,312.7
19,213.7
20,163.4
21,85.78
22,48.64
23,44.49
24,63.44
25,71.66
26,127.7
27,206.9
28,309.9
29,156.5
30,63.3
31,77.29
32,45.11
33,57.45
34,69.8
35,121.7
36,185.2
37,175.3
38,139
39,77.11
40,57.29
41,54.79
42,75.38
43,87.73
44,136.4
45,290.6
46,345.8
47,271.6
48,156.1
49,71.1
50,43.86
51,30.64
52,35.56
53,52.03
54,37.99
55,62.71
56,103.9
57,187.2
