"id","value"
1,3.923
2,4.436
3,4.806
4,4.418
5,4.339
6,4.811
7,5.259
8,4.735
9,4.608
10,5.196
11,5.609
12,4.977
13,4.883
14,5.744
15,6.035
16,5.514
17,5.387
18,6.211
19,6.659
20,5.983
21,5.709
22,6.458
23,6.875
24,6.162
25,6.098
26,7.075
27,7.595
28,6.891
29,6.707
30,7.874
31,8.555
32,7.503
33,7.469
34,8.829
35,9.513
36,8.415
37,8.17
38,9.503
39,10.306
40,9.077
41,8.65
42,10.18
43,11.234
44,9.836
45,9.49
46,10.991
47,12.17
48,10.47
49,10.087
50,11.858
51,13.198
52,11.413
53,11.136
54,13.04
55,14.248
56,12.759
57,12.328
58,14.493
59,15.664
60,13.781
61,13.299
62,15.23
63,16.667
64,14.484
65,13.838
66,15.919
67,17.149
68,15.564
69,15.024
70,17.064
71,18.512
72,16.467
73,16.249
74,18.515
75,20.377
76,17.681
77,16.692
78,19.184
79,20.078
80,18.26
81,18.023
82,20.234
83,22.272
84,19.684
85,19.031
86,21.545
87,23.27
88,20.107
89,20.084
90,22.634
91,24.494
92,21.396
93,21.323
94,23.644
95,25.994
96,22.802
97,22.604
98,24.51
99,26.69
100,24.132
101,23.639
102,26.32
103,28.345
104,24.89
105,24.675
106,27.122
107,28.59
108,25.371
109,24.687
110,27.285
111,29.29
112,26.684
113,26.641
114,29.042
115,31.856
116,28.343
117,28.982
118,30.838
119,33.165
120,29.648
121,29.506
122,32.002
123,34.375
124,31.046
125,31.015
126,33.685
127,35.85
128,33.211
129,33.142
130,34.664
131,37.154
132,35.303
133,36.905
134,37.333
135,40.413
136,36.579
137,37.016
138,39.103
139,41.067
140,37.653
141,37.554
142,38.752
143,41.424
144,38.101
145,38.332
146,39.774
147,42.246
148,38.498
149,39.46
150,41.356
151,42.949
152,40.974
153,40.162
154,41.199
155,44.095
156,41.745
157,41.768
158,43.686
159,46.022
160,42.8
161,43.661
162,44.707
163,46.326
164,43.346
165,43.938
166,45.828
167,48.448
168,46.096
169,46.198
170,47.237
171,49.041
172,46.192
173,48.089
174,48.227
175,49.784
176,47.588
177,49.32
178,50.67
179,52.623
180,49.35
181,51.658
182,51.103
183,52.226
184,50.778
185,50.639
186,51.486
187,53.299
188,51.646
189,51.415
190,51.379
191,54.808
192,52.453
193,54.561
194,54.644
195,55.915
196,52.85
197,55.035
198,55.117
199,56.043
200,54.992
201,57.112
202,57.157
203,58.4
204,56.249
205,56.244
206,55.036
207,59.806
208,56.411
209,59.118
210,56.66
211,64.067
212,59.045
213,58.368
214,57.471
215,58.394
216,57.336
217,58.309
218,58.041
