"id","value"
1,42.4
2,39.2
3,42.2
4,43.9
5,43.7
6,45.5
7,47.1
8,46.4
9,47.7
10,49.4
11,57.1
12,75.3
13,45.9
14,44
15,45
16,49.3
17,47
18,48.9
19,52.2
20,51.1
21,51.5
22,54.6
23,62.7
24,83.5
25,53.4
26,49
27,50.8
28,53.4
29,53.8
30,54.3
31,58.5
32,57.3
33,56.9
34,60.8
35,69.2
36,93.7
37,57.8
38,53.9
39,56.6
40,57.5
41,59.5
42,57.5
43,60.1
44,60
45,60.3
46,63.5
47,71.6
48,99.5
49,61.4
50,58.5
51,60
52,62.6
53,63.6
54,61.4
55,65.4
56,63.3
57,63.1
58,65.7
59,72.9
60,103.4
61,61
62,56.7
63,63.6
64,63.2
65,63.7
66,63.2
67,67.6
68,64.1
69,64.2
70,68.2
71,78.2
72,104.3
73,61.9
74,59.6
75,60.9
76,65.3
77,64.9
78,64.2
79,66.2
80,66.2
81,66
82,69.7
83,78.8
84,106.6
85,64.6
86,62.6
87,64.7
88,68.4
89,66.8
90,68.4
91,70.2
92,69.4
93,70.5
94,74.6
95,84.5
96,113.8
97,69.3
98,64.8
99,69
100,70.5
101,70.6
102,71.2
103,72.9
104,71.9
105,74.4
106,77.8
107,87.3
108,122
109,69.5
110,67.7
111,69.8
112,74.1
113,72.7
114,73.5
115,76.7
116,72.8
117,76.2
118,80
119,91.1
120,126.7
121,71.1
122,70.3
123,73.4
124,78.5
125,77.1
126,79.7
127,81
128,78.9
129,81.6
130,86.4
131,101
132,130.6
133,76.7
134,75.8
135,80.6
136,82.9
137,82
138,86.5
139,88.8
140,83.9
141,84.7
142,92.6
143,105.7
144,139.8
145,83
146,80.2
147,82.7
148,87
149,87.7
150,86.1
151,91.5
152,87.7
153,87.3
154,92.5
155,107.2
156,139.6
157,85.2
158,81.5
159,85.1
160,88.2
161,90.1
162,90.1
163,94.5
164,91.7
165,89.7
166,97.3
167,111.8
168,144.5
169,91.1
170,85.3
171,88.4
172,92.5
173,92.8
174,92.7
175,97.1
176,94
177,93
178,100.8
179,114
180,151.9
181,93.9
182,90.3
183,92.4
184,98.6
185,100.1
186,99
187,103.5
188,100.4
189,101
190,107.4
191,123.3
192,164.1
193,98.5
194,97.3
195,102.7
196,106.2
197,105.3
198,102
199,108.6
200,103.4
201,104.1
202,113.2
203,131.3
204,165.3
205,100.1
206,99.3
207,102.7
208,108.1
209,106.3
210,106.7
211,111.2
212,105.9
213,108
214,116.7
215,134
216,170.8
217,106.3
218,103.7
219,107.6
220,113.5
221,113.6
222,113.7
223,116.6
224,112.4
225,113.8
226,120.4
227,138
228,172.1
229,106
230,102.7
231,109.1
232,109.6
233,110.7
234,112.7
235,114.8
236,111.1
237,111.5
238,118.8
239,136.9
240,177.5
241,105.4
242,102.6
243,106.7
244,114.1
245,114.7
246,115.1
247,116.9
248,114.7
249,113.6
250,122.8
251,140.5
252,184.8
253,107.6
254,107.5
255,113.2
