"id","value"
1,330.371
2,371.051
3,270.67
4,343.88
5,358.491
6,362.822
7,261.281
8,240.355
9,325.382
10,316.7
11,171.153
12,257.217
13,298.127
14,251.464
15,181.555
16,192.598
17,245.652
18,245.526
19,225.261
20,238.211
21,257.385
22,228.461
23,175.371
24,226.462
25,266.15
26,287.251
27,225.883
28,265.313
29,272.759
30,234.134
31,196.462
32,205.551
33,291.283
34,284.422
35,221.571
36,250.697
37,253.757
38,267.016
39,220.388
40,277.801
41,283.233
42,302.072
43,259.72
44,297.658
45,306.129
46,322.106
47,256.723
48,341.877
49,356.004
50,361.54
51,270.433
52,311.105
53,326.688
54,327.059
55,274.257
56,367.606
57,346.163
58,348.211
59,250.008
60,292.518
61,343.318
62,343.429
63,275.386
64,329.747
65,364.521
66,378.448
67,300.798
68,331.757
69,362.536
70,389.133
71,323.322
72,391.832
73,421.646
74,416.823
75,311.713
76,381.902
77,422.982
78,427.722
79,376.85
80,458.58
81,436.225
82,441.487
83,369.566
84,450.723
85,462.442
86,468.232
87,403.636
88,413.948
89,460.496
90,448.932
91,407.787
92,469.408
93,494.311
94,433.24
95,335.106
96,378.795
97,387.1
98,372.395
99,335.79
100,397.08
101,449.755
102,402.252
103,391.847
104,385.89
105,424.325
106,433.28
107,391.213
108,408.74
109,445.458
110,428.202
111,379.048
112,394.042
113,432.796
