"id","value"
1,1577
2,1356
3,1652
4,1382
5,1519
6,1421
7,1442
8,1543
9,1656
10,1561
11,1905
12,2199
13,1473
14,1655
15,1407
16,1395
17,1530
18,1309
19,1526
20,1327
21,1627
22,1748
23,1958
24,2274
25,1648
26,1401
27,1411
28,1403
29,1394
30,1520
31,1528
32,1643
33,1515
34,1685
35,2000
36,2215
37,1956
38,1462
39,1563
40,1459
41,1446
42,1622
43,1657
44,1638
45,1643
46,1683
47,2050
48,2262
49,1813
50,1445
51,1762
52,1461
53,1556
54,1431
55,1427
56,1554
57,1645
58,1653
59,2016
60,2207
61,1665
62,1361
63,1506
64,1360
65,1453
66,1522
67,1460
68,1552
69,1548
70,1827
71,1737
72,1941
73,1474
74,1458
75,1542
76,1404
77,1522
78,1385
79,1641
80,1510
81,1681
82,1938
83,1868
84,1726
85,1456
86,1445
87,1456
88,1365
89,1487
90,1558
91,1488
92,1684
93,1594
94,1850
95,1998
96,2079
97,1494
98,1057
99,1218
100,1168
101,1236
102,1076
103,1174
104,1139
105,1427
106,1487
107,1483
108,1513
109,1357
110,1165
111,1282
112,1110
113,1297
114,1185
115,1222
116,1284
117,1444
118,1575
119,1737
120,1763
