"id","value"
1,227.86
2,198.24
3,194.97
4,184.88
5,196.79
6,205.36
7,226.72
8,226.05
9,202.5
10,194.79
11,192.43
12,219.25
13,217.47
14,192.34
15,196.83
16,186.07
17,197.31
18,215.02
19,242.67
20,225.17
21,206.69
22,197.75
23,196.43
24,213.55
25,222.75
26,194.03
27,201.85
28,189.5
29,206.07
30,225.59
31,247.91
32,247.64
33,213.01
34,203.01
35,200.26
36,220.5
37,237.9
38,216.94
39,214.01
40,196
41,208.37
42,232.75
43,257.46
44,267.69
45,220.18
46,210.61
47,209.59
48,232.75
49,232.75
50,219.82
51,226.74
52,208.04
53,220.12
54,235.69
55,257.05
56,258.69
57,227.15
58,219.91
59,219.3
60,259.04
61,237.29
62,212.88
63,226.03
64,211.07
65,222.91
66,249.18
67,266.38
68,268.53
69,238.02
70,224.69
71,213.75
72,237.43
73,248.46
74,210.82
75,221.4
76,209
77,234.37
78,248.43
79,271.98
80,268.11
81,233.88
82,223.43
83,221.38
84,233.76
85,243.97
86,217.76
87,224.66
88,210.84
89,220.35
90,236.84
91,266.15
92,255.2
93,234.76
94,221.29
95,221.26
96,244.13
97,245.78
98,224.62
99,234.8
100,211.37
101,222.39
102,249.63
103,282.29
104,279.13
105,236.6
106,223.62
107,225.86
108,246.41
109,261.7
110,225.01
111,231.54
112,214.82
113,227.7
114,263.86
115,278.15
116,274.64
117,237.66
118,227.97
119,224.75
120,242.91
121,253.08
122,228.13
123,233.68
124,217.38
125,236.38
126,256.08
127,292.83
128,304.71
129,245.57
130,234.41
131,234.12
132,258.17
133,268.66
134,245.31
135,247.47
136,226.25
137,251.67
138,268.79
139,288.94
140,290.16
141,250.69
142,240.8
