"id","value"
1,8906
2,8860
3,8845
4,8936
5,9182
6,9838
7,11854
8,13795
9,13642
10,13138
11,12496
12,12084
13,11900
14,11672
15,11503
16,11717
17,11992
18,12266
19,12511
20,12206
21,11901
22,11198
23,10159
24,9258
25,8723
26,8693
27,8417
28,8402
29,8540
30,8968
31,10694
32,12343
33,12222
34,12023
35,11854
36,11886
37,11503
38,11488
39,11289
40,11029
41,10771
42,11045
43,11076
44,10922
45,10342
46,9685
47,8662
48,7791
49,7455
50,7378
51,7242
52,7179
53,7394
54,8020
55,9822
56,11548
57,11779
58,11641
59,11625
60,11457
61,11182
62,11121
63,10877
64,10572
65,10128
66,10098
67,9869
68,9487
69,9334
70,9135
71,8463
72,7776
73,7409
74,7378
75,7257
76,7363
77,7408
78,7745
79,8326
80,9319
81,9930
82,10021
83,9609
84,9197
85,8509
86,8570
87,8586
88,8662
89,8754
90,9242
91,9333
92,9135
93,8814
94,8647
95,8066
96,7394
97,6981
98,6783
99,6813
100,6844
101,6981
102,7150
103,7639
104,8402
105,8906
106,9227
107,9257
108,9425
109,9303
110,9135
111,8968
112,9105
113,9411
114,10006
115,10282
116,10037
117,9609
118,9181
119,8585
120,7714
121,7333
122,7348
123,7287
124,7378
125,7470
126,8143
127,9686
128,10963
129,11747
130,12311
131,12239
132,12000
133,11910
134,11951
135,11520
136,11311
137,11334
138,11992
139,12435
140,12206
141,11732
142,11411
143,10617
144,9899
145,9701
146,9854
147,9762
148,9899
149,10113
150,10846
151,12695
152,14421
153,14176
154,13810
155,13703
156,13489
157,12954
158,12985
159,12512
160,12526
161,12408
162,12814
163,13069
164,12797
165,12662
166,12191
167,11106
168,10296
169,9929
170,9731
171,9608
172,9655
173,9778
174,10311
175,12130
176,13580
177,13398
178,13259
179,13184
180,12879
181,12389
182,12434
183,12829
184,11854
185,11473
186,11762
187,12221
188,12052
189,11824
190,11411
191,10373
192,9609
193,9471
194,9564
195,9563
196,9807
197,10098
198,10663
199,12802
200,14406
201,14268
202,13795
203,13689
204,13383
205,12955
206,12832
207,12680
208,12527
209,12634
210,13291
211,13932
212,13734
213,13535
214,13061
215,11885
216,11121
217,10923
218,10984
219,10862
220,10815
221,11014
222,11580
223,13199
224,14940
225,14681
226,14253
227,13810
228,13381
229,12710
230,12481
231,11855
232,11456
233,11198
234,11426
235,11747
236,11473
237,11168
238,10892
239,10083
240,9167
241,8906
242,8708
243,8799
244,9044
245,9273
246,9593
247,10143
248,11075
249,11702
250,11655
251,11503
252,11289
253,10862
254,10862
255,10678
256,10495
257,10724
258,11243
259,11915
260,11885
261,11747
262,11504
263,10984
264,10267
265,10098
266,10053
267,9991
268,10174
269,10143
270,10326
271,10908
272,11488
273,11732
274,11427
275,11213
276,10724
277,10296
278,10159
279,10083
280,10205
281,10266
282,10754
283,11258
284,11457
285,11106
286,10786
287,9991
288,9380
289,9151
290,9211
291,9365
292,9716
293,9991
294,10907
295,12878
296,14574
297,14421
298,14131
299,13917
300,13704
