"id","value"
1,75.7
2,75.4
3,83.1
4,82.9
5,77.3
6,105.7
7,121.9
8,150
9,98
10,118
11,129.5
12,110.6
13,91.7
14,94.8
15,109.5
16,105.1
17,95
18,130.3
19,156.7
20,190.1
21,139.7
22,147.8
23,145.2
24,132.7
25,120.7
26,116.5
27,142
28,140.4
29,128
30,165.7
31,183.1
32,222.8
33,161.3
34,180.4
35,185.2
36,160.5
37,157.1
38,163.8
39,203.3
40,196.9
41,179.6
42,207.3
43,208
44,245.8
45,168.9
46,191.1
47,180
48,160.1
49,136.6
50,142.7
51,175.4
52,161.4
53,149.9
54,174.1
55,192.7
56,247.4
57,176.2
58,192.8
59,189.1
60,181.1
61,149.9
62,157.3
63,185.3
64,178.2
65,162.7
66,190.6
67,198.6
68,253.1
69,177.4
70,190.6
71,189.2
72,168
73,161.4
74,172.2
75,208.3
76,199.3
77,197.4
78,216
79,223.9
80,266.8
81,196.1
82,238.2
83,217.8
84,203.8
85,175.2
86,176.9
87,219.3
88,199.1
89,190
90,229.3
91,255
92,302.4
93,242.8
94,245.5
95,257.9
96,226.3
97,213.4
98,204.6
99,244.6
100,239.9
101,224
102,267.2
103,285.9
104,344
105,250.5
106,304.3
107,307.4
108,255.1
109,214.9
110,230.9
111,282.5
112,265.4
113,254
114,301.6
115,311
116,384
117,303.8
118,319.1
119,313.5
120,294.2
121,244.8
122,261.4
123,329.7
124,304.9
125,268.6
126,320.7
127,342.9
128,422.3
129,317.2
130,392.7
131,365.6
132,333.2
133,261.5
134,306.9
135,358.2
136,329.2
137,309.2
138,350.4
139,375.6
140,465.2
141,342.9
142,408
143,390.9
144,325.9
145,289.1
146,308.2
147,397.4
148,330.4
149,330.9
150,366.5
151,379.5
152,448.3
153,346.2
154,353.6
155,338.6
156,341.1
157,283.4
158,304.2
159,372.3
160,323.7
161,323.9
162,354.8
163,367.9
164,457.6
165,351
166,398.6
167,389
168,334.1
169,298.1
170,317.1
171,388.5
172,355.6
173,353.1
174,397
175,416.7
176,460.8
177,360.8
178,434.6
179,411.9
180,405.6
181,319.3
182,347.9
183,429
184,372.9
185,403
186,426.5
187,459.9
188,559.9
189,416.6
190,429.2
191,428.7
192,405.4
193,330.2
194,370
195,446.9
196,384.6
197,366.3
198,378.5
199,376.2
200,523.2
201,379.3
202,437.2
203,446.5
204,360.3
205,329.9
206,339.4
207,418.2
208,371.9
209,358.6
210,428.9
211,437
212,534
213,396.6
214,427.5
215,392.5
216,321.5
217,260.9
218,308.3
219,415.5
220,362.2
221,385.6
222,435.3
223,473.3
224,566.6
225,420.2
226,454.8
227,432.3
228,402.8
229,341.3
230,367.3
231,472
232,405.8
233,395.6
234,449.9
235,479.9
236,593.1
237,462.4
238,501.6
239,504.7
240,409.5
