"","value"
"1",13.139
"2",13.3089
"3",39.0773
"4",62.3254
"5",38.1428
"6",37.5481
"7",128.1337
"8",35.5376
"9",26.6462
"10",22.5402
"11",9.0331
"12",13.0541
"13",12.3461
"14",17.8113
"15",26.5612
"16",34.32
"17",9.0048
"18",79.089
"19",60.145
"20",32.2246
"21",76.3422
"22",28.9115
"23",12.7143
"24",7.8721
"25",42.1072
"26",30.7521
"27",8.3818
"28",6.1448
"29",49.6111
"30",80.9296
"31",56.2939
"32",36.8119
"33",28.4018
"34",10.364
"35",2.9733
"36",17.5281
"37",33.0174
"38",28.2602
"39",29.4778
"40",32.1679
"41",15.7442
"42",49.4129
"43",54.1985
"44",39.2755
"45",6.6828
"46",6.0315
"47",6.9659
"48",7.7588
"49",11.8364
"50",50.2341
"51",29.4495
"52",7.9004
"53",6.881
"54",123.8579
"55",59.6919
"56",26.363
"57",9.5711
"58",21.5208
"59",18.7174
"60",25.4002
"61",31.2901
"62",51.7915
"63",73.5105
"64",23.0216
"65",17.3299
"66",83.8179
"67",31.007
"68",26.363
"69",4.0493
"70",12.2895
"71",9.656
"72",4.4174
"73",12.6293
"74",74.4167
"75",45.3353
"76",13.0258
"77",36.7553
"78",72.9159
"79",73.6521
"80",22.342
"81",44.599
"82",25.9949
"83",13.5355
"84",11.0153
"85",6.258
"86",5.3802
"87",8.2968
"88",24.041
"89",13.5355
"90",72.2929
"91",58.9557
"92",40.2666
"93",8.7499
"94",2.7637
"95",4.6156
"96",9.8259
"97",9.9675
"98",15.8008
"99",50.0359
"100",49.3846
"101",8.4667
"102",22.3703
"103",90.6139
"104",54.6515
"105",18.1228
"106",9.3162
"107",5.6917
"108",27.4107
"109",39.8135
"110",8.7216
"111",16.2256
"112",5.4935
"113",85.4036
"114",39.9268
"115",44.6557
"116",29.2796
"117",9.4861
"118",23.6446
"119",12.7992
"120",28.8832
"121",17.7547
"122",58.0779
"123",35.7359
"124",22.0871
"125",25.2586
"126",45.6468
"127",96.1074
"128",19.7935
"129",10.364
"130",4.8139
"131",8.8915
"132",5.6351
"133",38.426
"134",81.7507
"135",18.7741
"136",28.6
"137",34.8014
"138",92.8793
"139",27.4673
"140",55.3594
"141",13.5071
"142",4.8139
"143",8.1269
"144",19.6519
"145",71.2735
"146",87.046
"147",84.4692
"148",30.2141
"149",36.3872
"150",42.362
"151",59.4371
"152",49.2147
"153",66.8278
"154",39.8701
"155",27.4673
"156",7.8438
"157",4.1626
"158",5.0121
"159",14.9796
"160",19.8784
"161",18.6891
"162",92.3696
"163",117.7131
"164",55.7559
"165",13.9885
"166",9.656
"167",4.0493
"168",4.7572
"169",18.6325
"170",25.5418
"171",38.6808
"172",39.6153
"173",30.7238
"174",58.2761
"175",29.0531
"176",14.6398
"177",17.9529
"178",6.3147
"179",2.5004
"180",3.0299
"181",1.7245
"182",1.9624
"183",5.4652
"184",3.7945
"185",9.3162
"186",44.8256
"187",70.7355
"188",50.7438
"189",18.9157
"190",48.2236
"191",9.9958
"192",6.0032
"193",3.9927
"194",7.8721
"195",28.685
"196",62.2121
"197",39.8701
"198",24.664
"199",86.8478
"200",24.4941
"201",20.4448
"202",11.0153
"203",3.5679
"204",1.8208
"205",34.8014
"206",59.3238
"207",13.8753
"208",22.0871
"209",17.7263
"210",51.1119
"211",74.5866
"212",17.16
"213",7.6172
"214",2.4777
"215",37.0101
"216",48.2802
"217",17.5848
"218",22.6535
"219",25.0887
"220",38.1994
"221",9.1463
"222",44.0044
"223",65.8933
"224",18.6042
"225",7.9287
"226",5.8333
"227",5.5784
"228",20.1616
"229",16.2539
"230",31.5733
"231",39.5586
"232",48.5351
"233",16.5937
"234",65.0155
"235",50.7438
"236",35.6509
"237",7.2208
"238",41.9939
"239",5.3802
"240",2.86
"241",11.2135
"242",80.788
"243",31.0353
"244",30.837
"245",13.5071
"246",153.3641
"247",62.7501
"248",12.3461
"249",4.3042
"250",1.4668
"251",6.0881
"252",4.4174
"253",14.3
"254",38.2561
"255",35.2545
"256",66.3181
"257",30.4123
"258",25.5135
"259",78.6359
"260",33.0174
"261",30.4972
"262",12.1762
"263",14.9796
"264",18.944
"265",23.0216
"266",26.5612
"267",30.6388
"268",35.1695
"269",42.7868
"270",39.2472
"271",37.2083
"272",20.8978
"273",18.5475
"274",22.0022
"275",43.0416
"276",66.9694
"277",14.838
"278",30.5822
"279",59.1822
"280",18.6608
"281",60.8246
"282",62.92
"283",65.2703
"284",10.5622
"285",4.021
"286",2.9733
"287",1.8094
"288",2.0501
"289",10.5056
"290",29.2513
"291",23.503
"292",10.8737
"293",9.7976
"294",39.0206
"295",151.9199
"296",24.664
"297",14.385
"298",7.4756
"299",2.5655
"300",7.0226
"301",5.9182
"302",26.3064
"303",47.1192
"304",23.3614
"305",15.999
"306",27.4107
"307",71.8965
"308",14.1018
"309",5.097
"310",3.7661
"311",11.6665
"312",2.8147
"313",2.4551
"314",8.1269
"315",21.5208
"316",19.2555
"317",16.084
"318",66.2048
"319",46.2414
"320",48.1953
"321",27.0709
"322",9.2596
"323",7.2491
"324",9.5145
"325",21.3792
"326",37.0384
"327",54.0002
"328",36.3305
"329",51.8482
"330",78.5509
"331",54.1135
"332",82.5719
"333",24.4374
"334",4.7572
"335",4.2192
"336",1.8689
"337",11.525
"338",39.3038
"339",14.3283
"340",7.5889
"341",13.9602
"342",58.1911
"343",57.3699
"344",25.2303
"345",11.0436
"346",4.7289
"347",3.483
"348",6.1164
"349",7.9004
"350",18.0378
"351",28.062
"352",32.3095
"353",29.8176
"354",124.849
"355",37.6331
"356",48.0254
"357",31.1769
"358",21.0394
"359",12.8558
"360",27.0143
"361",45.5052
"362",57.1151
"363",21.2093
"364",35.4244
"365",15.2911
"366",76.2006
"367",16.0273
"368",64.3359
"369",34.9713
"370",8.8915
"371",10.1657
"372",4.1059
"373",7.1358
"374",7.6172
"375",10.0242
"376",43.9478
"377",21.2093
"378",59.9468
"379",79.1456
"380",68.3569
"381",25.6834
"382",37.9729
"383",12.7992
"384",6.2297
"385",2.8883
"386",24.126
"387",14.8663
"388",6.8527
"389",35.3111
"390",115.7026
"391",65.6951
"392",51.8765
"393",26.8444
"394",13.224
"395",5.805
"396",2.4862
"397",3.0865
"398",14.6115
"399",36.727
"400",66.4313
"401",43.1266
"402",33.3856
"403",32.8192
"404",30.3273
"405",8.3252
"406",3.0016
"407",4.7855
"408",4.644
"409",5.805
"410",16.2822
"411",43.0982
"412",50.2058
"413",26.278
"414",69.6878
"415",85.0355
"416",29.3079
"417",18.4909
"418",9.0614
"419",13.8753
"420",16.5654
"421",5.72
"422",38.1428
"423",68.725
"424",49.5545
"425",64.8456
"426",58.7291
"427",61.2493
"428",13.0258
"429",7.9004
"430",22.7101
"431",13.8753
"432",8.1553
"433",11.8931
"434",54.0286
"435",43.5796
"436",58.7575
"437",34.2068
"438",59.8901
"439",61.7024
"440",32.9608
"441",14.4133
"442",13.4788
"443",4.2475
"444",7.5606
"445",2.8317
"446",6.6545
"447",47.2325
"448",51.8482
"449",46.0432
"450",54.0569
"451",55.1046
"452",51.5367
"453",8.8349
"454",3.6812
"455",3.483
"456",5.3802
"457",4.9838
"458",15.2061
"459",42.5319
"460",27.524
"461",60.145
"462",38.6525
"463",48.4501
"464",40.6347
"465",13.9036
"466",4.021
"467",2.2285
"468",6.9093
"469",4.4457
"470",52.0181
"471",41.9939
"472",25.0038
"473",31.545
"474",78.2961
"475",43.6646
"476",16.3955
"477",20.643
"478",3.7378
"479",43.9761
"480",8.3252
"481",57.0018
"482",45.307
"483",18.1511
"484",20.2749
"485",26.4763
"486",73.5389
"487",134.1086
"488",29.3079
"489",21.5491
"490",7.6455
"491",3.0299
"492",23.0499
"493",14.1018
"494",18.5192
"495",49.2147
"496",32.706
"497",22.5402
"498",37.6331
"499",59.4937
"500",35.2545
"501",8.8632
"502",4.1059
"503",2.1719
"504",1.4725
"505",2.2653
"506",6.5412
"507",45.9016
"508",22.9083
"509",13.9036
"510",32.8192
"511",144.5292
"512",48.4218
"513",20.0483
"514",9.4295
"515",5.805
"516",9.6277
"517",23.7862
"518",46.3547
"519",23.0499
"520",41.739
"521",20.7279
"522",42.7018
"523",72.4062
"524",19.4254
"525",5.5501
"526",2.2937
"527",2.0586
"528",1.9992
"529",21.7757
"530",72.5195
"531",56.3222
"532",36.019
"533",43.8628
"534",29.6194
"535",95.4561
"536",25.7117
"537",31.4883
"538",10.2224
"539",5.9465
"540",49.6678
