"","value"
"1",8.41
"2",6.37
"3",5.07
"4",5.32
"5",11.75
"6",21.75
"7",57.2
"8",114.4
"9",104.21
"10",60.03
"11",30.58
"12",14.78
"13",8.75
"14",6.68
"15",5.66
"16",5.86
"17",8.89
"18",74.76
"19",93.45
"20",75.04
"21",73.91
"22",62.58
"23",41.63
"24",18.26
"25",9.66
"26",7.59
"27",5.24
"28",4.05
"29",3.94
"30",28.32
"31",87.78
"32",67.96
"33",55.22
"34",45.02
"35",35.68
"36",27.04
"37",20.27
"38",15.38
"39",12.29
"40",8.66
"41",5.97
"42",85.8
"43",135.64
"44",69.94
"45",43.61
"46",26.39
"47",16.42
"48",10.73
"49",8.18
"50",7.14
"51",6.97
"52",7.93
"53",13.2
"54",60.88
"55",90.05
"56",62.86
"57",47.29
"58",35.68
"59",14.89
"60",8.27
"61",6.82
"62",6.6
"63",6.57
"64",7.02
"65",12.71
"66",41.34
"67",79.57
"68",58.62
"69",37.66
"70",24.32
"71",18.6
"72",16.34
"73",15.66
"74",14.58
"75",10.59
"76",6.6
"77",9.49
"78",66.26
"79",112.7
"80",54.65
"81",37.38
"82",25.43
"83",13.93
"84",9.91
"85",7.31
"86",3.43
"87",1.89
"88",4.42
"89",14.47
"90",57.2
"91",145.55
"92",81.27
"93",54.37
"94",50.4
"95",27.35
"96",17.16
